,Li,B,C,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Y,Zr,Nb,Mo,Pd,Ag,Sn,Nd,Hf,Ta,W,Re
Li,0.0,-6.0,-61.0,0.0,-4.0,-30.0,-1.0,12.0,34.0,37.0,35.0,19.0,26.0,8.0,1.0,-5.0,-7.0,-9.0,8.0,27.0,51.0,49,-40,-16,-18,7,30,48,50,29
B,-6.0,0.0,-10.0,-4.0,0.0,-14.0,-22.0,-55.0,-58.0,-42.0,-31.0,-32.0,-26.0,-24.0,-24.0,0.0,4.0,6.0,-50.0,-71.0,-54.0,-34,-24,5,18,-49,-66,-54,-31,-25
C,-61.0,-10.0,0.0,-55.0,-36.0,-39.0,-89.0,-118.0,-109.0,-82.0,-61.0,-66.0,-50.0,-42.0,-39.0,-33.0,-32.0,-33.0,-117.0,-131.0,-102.0,-67,-32,-32,-23,-116,-123,-101,-60,-42
Mg,0.0,-4.0,-55.0,0.0,-2.0,-26.0,-6.0,-3.0,16.0,23.0,24.0,10.0,18.0,3.0,-4.0,-3.0,-4.0,-4.0,-6.0,6.0,32.0,36,-40,-10,-9,-6,10,30,38,21
Al,-4.0,0.0,-36.0,-2.0,0.0,-19.0,-20.0,-38.0,-30.0,-16.0,-10.0,-19.0,-11.0,-19.0,-22.0,-1.0,1.0,1.0,-38.0,-44.0,-18.0,-5,-46,-4,4,-38,-39,-19,-2,-9
Si,-30.0,-14.0,-39.0,-26.0,-19.0,0.0,-51.0,-74.0,-66.0,-48.0,-37.0,-45.0,-35.0,-38.0,-40.0,-19.0,-18.0,-17.0,-73.0,-84.0,-56.0,-35,-55,-20,-11,-73,-77,-56,-31,-31
Ca,-1.0,-22.0,-89.0,-6.0,-20.0,-51.0,0.0,17.0,43.0,44.0,38.0,19.0,25.0,2.0,-7.0,-13.0,-22.0,-28.0,11.0,37.0,63.0,56,-63,-28,-45,10,39,-60,57,28
Sc,12.0,-55.0,-118.0,-3.0,-38.0,-74.0,17.0,0.0,8.0,7.0,1.0,-8.0,-11.0,-30.0,-39.0,-24.0,-29.0,-38.0,1.0,4.0,18.0,11,-86,-28,-45,2,5,16,9,-17
Ti,34.0,-58.0,-109.0,16.0,-30.0,-66.0,43.0,8.0,0.0,-2.0,-7.0,-8.0,-17.0,-28.0,-35.0,-9.0,-15.0,-23.0,15.0,0.0,2.0,-4,-65,-2,-21,17,0,1,-6,-25
V,37.0,-42.0,-82.0,23.0,-16.0,-48.0,44.0,7.0,-2.0,0.0,-2.0,-1.0,-7.0,-14.0,-18.0,5.0,-2.0,-8.0,17.0,-4.0,-1.0,0,-35,17,-1,18,-2,-1,-1,-13
Cr,35.0,-31.0,-61.0,24.0,-10.0,-37.0,38.0,1.0,-7.0,-2.0,0.0,2.0,-1.0,-4.0,-7.0,12.0,5.0,-1.0,11.0,-12.0,-7.0,0,-15,27,10,13,-9,-7,1,-4
Mn,19.0,-32.0,-66.0,10.0,-19.0,-45.0,19.0,-8.0,-8.0,-1.0,2.0,0.0,0.0,-5.0,-8.0,4.0,-6.0,-13.0,-1.0,-15.0,-4.0,5,-23,13,-7,0,-12,-4,6,-1
Fe,26.0,-26.0,-50.0,18.0,-11.0,-35.0,25.0,-11.0,-17.0,-7.0,-1.0,0.0,0.0,-1.0,-2.0,13.0,4.0,-2.0,-1.0,-25.0,-16.0,-2,-4,28,11,1,-21,-15,0,0
Co,8.0,-24.0,-42.0,3.0,-19.0,-38.0,2.0,-30.0,-28.0,-14.0,-4.0,-5.0,-1.0,0.0,0.0,6.0,-5.0,-11.0,-22.0,-41.0,-25.0,-5,-1,19,0,-20,-35,-24,-1,2
Ni,1.0,-24.0,-39.0,-4.0,-22.0,-40.0,-7.0,-39.0,-35.0,-18.0,-7.0,-8.0,-2.0,0.0,0.0,4.0,-9.0,-15.0,-31.0,-49.0,-30.0,-7,0,15,-4,-30,-42,-29,-3,2
Cu,-5.0,0.0,-33.0,-3.0,-1.0,-19.0,-13.0,-24.0,-9.0,5.0,12.0,4.0,13.0,6.0,4.0,0.0,1.0,1.0,-22.0,-23.0,3.0,19,-14,2,7,-22,-17,2,22,18
Zn,-7.0,4.0,-32.0,-4.0,1.0,-18.0,-22.0,-29.0,-15.0,-2.0,5.0,-6.0,4.0,-5.0,-9.0,1.0,0.0,0.0,-31.0,-29.0,-1.0,12,-33,-4,1,-31,-24,-3,15,8
Ga,-9.0,6.0,-33.0,-4.0,1.0,-17.0,-28.0,-38.0,-23.0,-8.0,-1.0,-13.0,-2.0,-11.0,-15.0,1.0,0.0,0.0,-40.0,-40.0,-8.0,7,-42,-5,1,-40,-34,-10,11,3
Y,8.0,-50.0,-117.0,-6.0,-38.0,-73.0,11.0,1.0,15.0,17.0,11.0,-1.0,-1.0,-22.0,-31.0,-22.0,-31.0,-40.0,0.0,9.0,30.0,24,-84,-29,-51,0,11,27,24,-4
Zr,27.0,-71.0,-131.0,6.0,-44.0,-84.0,37.0,4.0,0.0,-4.0,-12.0,-15.0,-25.0,-41.0,-49.0,-23.0,-29.0,-40.0,9.0,0.0,4.0,-6,-91,-20,-43,10,0,3,-9,-35
Nb,51.0,-54.0,-102.0,32.0,-18.0,-56.0,63.0,18.0,2.0,-1.0,-7.0,-4.0,-16.0,-25.0,-30.0,3.0,-1.0,-8.0,30.0,4.0,0.0,-6,-53,16,-1,32,4,0,-8,-26
Mo,49.0,-34.0,-67.0,36.0,-5.0,-35.0,56.0,11.0,-4.0,0.0,0.0,5.0,-2.0,-5.0,-7.0,19.0,12.0,7.0,24.0,-6.0,-6.0,0,-15,37,20,26,-4,-5,0,-7
Pd,-40,-24,-32,-40,-46,-55,-63,-86,-65,-35,-15,-23,-4,-1,0,-14,-33,-42,-84,-91,-53,-15,0,-7,-34,-83,-80,-52,-6,6
Ag,-16,5,-32,-10,-4,-20,-28,-28,-2,17,27,13,28,19,15,2,-4,-5,-29,-20,16,37,-7,0,-3.0,-29.0,-13.0,15.0,43.0,38.0
Sn,-18,18,-23,-9,4,-11,-45,-45,-21,-1,10,-7,11,0,-4,7,1,1,-51,-43,-1,20,-34,-3,0.0,-51.0,-35.0,-3.0,27.0,20.0
Nd,7,-49,-116,-6,-38,-73,10,2,17,18,13,0,1,-20,-30,-22,-31,-40,0,10,32,26,-83,-29,-51.0,0.0,13.0,29.0,26.0,-2.0
Hf,30,-66,-123,10,-39,-77,39,5,0,-2,-9,-12,-21,-35,-42,-17,-24,-34,11,0,4,-4,-80,-13,-35.0,13.0,0.0,3.0,-6.0,-30.0
Ta,48,-54,-101,30,-19,-56,-60,16,1,-1,-7,-4,-15,-24,-29,2,-3,-10,27,3,0,-5,-52,15,-3.0,29.0,3.0,0.0,-7.0,-24.0
W,50,-31,-60,38,-2,-31,57,9,-6,-1,1,6,0,-1,-3,22,15,11,24,-9,-8,0,-6,43,27.0,26.0,-6.0,-7.0,0.0,-4.0
Re,29,-25,-42,21,-9,-31,28,-17,-25,-13,-4,-1,0,2,2,18,8,3,-4,-35,-26,-7,6,38,20.0,-2.0,-30.0,-24.0,-4.0,0.0
